summary_nr,report_id,event_date,age,sex,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,rel_insp_nr,event_type,occ_code,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,Category
221630221,521100,12/28/2023,40,F,Employee is killed when struck by vehicle during delivery,"Blunt force,Blunt force trauma,Delivery Work,Driver,Highway Shoulder,Inexperience,Lighting,Misjudgment,Misjudgment of Hazardous Situation,Motor Vehicle,Package Delivery,Poor Visibility,Rain,Reflective",,,,,,347201089,1,805.0,,,,,1,Blunt Force/Struck By Objects
221661093,950633,12/28/2023,40,M,Employee drowns in swimming pool,"Cleaning,Drown,Drowning,Pool,Unresponsive",,,,,,347445421,14,,,,,,1,Construction/Material Handling
221627201,112600,12/27/2023,28,M,"Employee dies during repairs, crushed by collapsing trailer","Asphyxiated,Automotive Repair,Caught Between,Chest,Collapse,Crushed,Equipment Failure,Falling Object,Maintenance,Mechanic,Misjudgment,Misjudgment of Hazardous Situation,Motor Vehicle,Repair,Semi Tract",,,,,,347184046,2,516.0,,,,,1,Falls
221627268,950615,12/27/2023,67,M,Employee felling trees is crushed and killed when struck,"Chain Saw,Chest,Chipper,Chipping,Crushed,Head,Hill,Landscaper,Landscaping,Removal,Rolling,Slope,Sloping,Struck By,Tree,Tree Felling,Tree Limb,Tree Section,Unsafe Position,Unstable Position,Wood Chippe",,,,,,347184251,1,0.0,,,,,1,Blunt Force/Struck By Objects
221627458,552652,12/27/2023,70,M,Employee dies from heart disease after falling to floor,"Artery,Bakery,Blunt force,Blunt force trauma,Breathing,Cardiac Arrest,Cardiovasc Disease,Cardiovasc System,Concrete Floor,Coronary artery disease,Fall,Fall On Same Level,Heart,Heart Attack,Hypertensio",,,,,,347185142,14,779.0,,,,,1,Falls
221627896,653510,12/27/2023,43,M,Employee dies after skull is crushed when pulled into lathe,"Caught By,Clothing,Defect,Defective,Defective Equipment,Glove,Guard,Inexperience,Lack of Engineering Controls,Lack of Work Procedures,Lathe,Machine Guarding,Machine operator,Metal,Metal Lathe,Misjudgm",,,,,,347187098,2,725.0,,,,,1,Other
221628035,953210,12/26/2023,39,M,Employee dies after collapsing from myocardial infarction,"Artery,Cardiac Arrest,Cardiovasc Disease,Cardiovasc System,Cashier,Food Preparation,Heart,Heart Attack,Respiratory,Respiratory Tract,Restaurant,Unresponsive",,,,,,347187726,14,276.0,,,,,1,Medical Events
221631955,454716,12/26/2023,66,M,Employee dies from blunt force trauma in fall from rafters,"Blunt force,Blunt force trauma,Fall,Fall From Elevation,Fall Protection,Fracture,Harness,Lifeline,Multi-employer Worksite,Multiemployer,PPE,PPE Hazard Assessment,Rafter,Rigging,Work Surface",,,,,,347185183,5,,,,,,1,Falls
221627748,626700,12/23/2023,53,M,Employee dies from CO exposure while cleaning bulk liquid waste tank,"Asphyxiated,Carbon Monoxide,Carboxyhemoglobin,Chemical,Chemical Exposure,Chemical Vapor,Confined Space,Entry Permit,Gas,Inhalation,Lack of Work Procedures,Lack of oxygen,Lost consciousness,Lung,Multi-",,,,,,347186579,8,887.0,,,,,1,Asphyxiation
221638471,950411,12/23/2023,58,M,Employee dies after falls and loses consciousness,"Fall,Fall On Same Level,Lifting,Lost consciousness,Ramp,Trailer",,,,,,347261794,12,999.0,,,,,1,Falls
221642614,830600,12/23/2023,33,M,Employee is killed when run over by motor vehicle in workplace,"Blunt force trauma,Head,Motor Vehicle,Parking Lot,Robbery,Run Over,Struck By,Workplace Violence",,,,,,347293516,1,,,,,,1,Blunt Force/Struck By Objects
221626708,111500,12/22/2023,48,M,Trench collapse of approximately 12 feet deep causes employee to die,"Asphyxiated,Buried,Collapse,Crushed,Crushing,Engulfed,Excavation,Internal Injuries,Pipe,Sewer,Torso,Trench,Trench Box,Trench Digger,Unprotected",H,,,,C,347181265,2,7010.0,11.0,,,,1,Crushed/Caught Between
221626534,418400,12/21/2023,45,M,"Employee dies by drowning, found face down in pool","Cleaning,Drown,Drowning,Lack of oxygen,Lung,Maintenance,Pool,Water",,,,,,347180275,14,,,,,,1,Construction/Material Handling
221631427,418800,12/21/2023,67,M,Employee is killed when struck by car,"Blunt force,Blunt force trauma,Highway,Highway Shoulder,Highway work zone,Struck By,Traumatic,Vehicle",,,,,,347210270,1,,,,,,1,Blunt Force/Struck By Objects
221626096,257230,12/20/2023,53,M,"Employee painting, slips and falls on electrical cables; dies","Cable,Ceiling,Electric Shock,Electrical Wire,Electrocuted,Fall,Fall On Same Level,Inexperience,Insufficient Supervision,Lack of Work Procedures,Landscaping,Misjudgment,Misjudgment of Hazardous Situati",,,,,,347176984,13,,,,,,1,Falls
221626468,950631,12/20/2023,33,M,Employee suffers fatality due to failed shoring of trench,"Blunt force,Blunt force trauma,Cathead,Cave-In,Collapse,Excavation,Fracture,Shoring,Skull,Struck By,Traumatic,Trench,Trench Box",M,,15.0,,C,347179178,1,7010.0,11.0,,,,1,Blunt Force/Struck By Objects
221626922,355111,12/20/2023,55,M,"Employee sustains electric shock, later dies of heart attack","Cardiac Arrest,Cardiovasc System,Contact,Electric Shock,Electric Switch,Electrical Wire,Electrical Work,Electronic Work,Heart,Heart Attack,Leg,Misjudgment,Misjudgment of Hazardous Situation,PPE,PPE Ha",,,,,,347177321,13,213.0,,,,,1,Medical Events
221625718,155010,12/19/2023,56,M,Employee dies after found unresponsive on concrete floor,"Cardiovasc Disease,Cardiovasc System,Concrete Floor,Drill,Drilling,Heart,Medical Condition,Medical History,Obesity,Underlying Medical Condition,Unresponsive,Ventricle",,,,,,347174674,14,,,,,,1,Medical Events
221625973,950621,12/19/2023,61,M,Employee dies from natural causes related to heart disease,"Artery,Cardiovasc Disease,Cardiovasc System,Delivery Work,Heart,Inspecting,Lost consciousness,Medical Condition,Medical History,Natural Causes,Respiratory Tract,Truck Driver,Underlying Medical Conditi",,,,,,347175853,12,,,,,,1,Vehicle Accidents
221631559,552700,12/19/2023,59,M,"Employee collapses and strikes head on cart, later dies","Blunt force,Blunt force trauma,Cart,Fall,Fall On Same Level,Head,Loss of consciousness,Lost consciousness,Struck Against,Wheel",,,,,,347210817,14,999.0,,,,,1,Falls
221625007,418400,12/18/2023,24,M,Employee lifting log is killed when crushed by shape chipper,"Activated,Chipper,Chipping,Crushed,Lifting,Lockout,Lockout/Tagout,Log,Positioning,Sawmill,Torso,Unsafe Position,Wood Chipper",,,,,,347170151,2,,,,,,1,Crushed/Caught Between
221625197,316700,12/18/2023,61,F,Employee is killed when building explodes due to propane buildup,"Bakery,Blunt force,Blunt force trauma,Breathing,Building,Burn,Defect,Defective,Defective Equipment,Exploded,Explosion,Fire,Flammable Vapors,Gas,Gas Leak,High Temperature,Ignite,Ignition,Leak,Lung,Pipe",,,,,,347171274,14,23.0,,,,,1,Blunt Force/Struck By Objects
221625270,420600,12/18/2023,57,M,Employee falls through roof and is killed,"Commercial Building,Concrete,Concrete Floor,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Filter,Floor,HVAC,Plumbing,Roof,Ventilation",,,,,,347171688,5,534.0,,,,,1,Falls
221626195,253610,12/18/2023,47,M,Employee is killed in motor vehicle collision with tree,"Blunt force,Blunt force trauma,Collision,Driving,Emergency Response,Fracture,Head,Law Enforcement,Lost Control,Misjudgment,Misjudgment of Hazardous Situation,Motor Vehicle,Police,Skull,Struck Against,",,,,,,347177651,6,7030.0,,,,,1,Blunt Force/Struck By Objects
221629488,452110,12/18/2023,23,M,Employee dies due to drowning while working in pool area,"Cleaning,Drown,Drowning,Fall,Fall On Same Level,Hotel,Inhalation,Lack of oxygen,Life Jacket,Maintenance,Pool,Swim,Water",,,,,,347197980,9,999.0,,,,,1,Falls
221625148,627100,12/17/2023,62,F,Employee dies from allergic reaction after chemical exposure,"Allergic Reaction,Anaphylactic shock,Cardiovasc System,Chemical,Chemical Exposure,Chemical Vapor,Collapse,Disinfectant,Lung,Medical Condition,Medical History,Non-PEL Overexposure,Overexposure,Respirat",,,,,,347171209,12,365.0,,,,,1,Crushed/Caught Between
221670862,627510,12/17/2023,30,M,Employee is killed when struck by pump jack weights,"Falling Object,Pump Jack Scaffold,Struck By",,,,,,347523045,1,,,,,,1,Falls
221627334,522300,12/16/2023,21,M,Employee dies when shot by customer at drive through,"Assault,Bullet,Firearm,Gun,Gunfire,Gunshot,Projectile,Puncture Wound,Retail,Retail Clerk,Retail Store,Shot,Workplace Violence",,,,,,347184665,1,275.0,,,,,1,Fire/Explosion
221624786,215800,12/15/2023,32,M,Employee falls through roof to ground and suffers fatality,"Blunt force trauma,Cathead,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Fracture,Heart,Installing,Insulation,Laceration,Rib,Roof,Roofer,Roofing,Sheet Metal,Skull,Traumat",H,,25.0,,E,347168940,5,595.0,5.0,,23.0,23.0,1,Falls
221624927,215300,12/15/2023,58,M,Employee dies from heart attack in car in work parking lot,"Cardiac Arrest,Cardiovasc Disease,Cardiovasc System,Heart,Heart Attack,Medical Condition,Medical History,Respiratory Tract,Underlying Medical Condition",,,,,,347169369,12,876.0,,,,,1,Medical Events
221625015,418300,12/15/2023,47,M,Trailer ramp falls on employee causing fatality,"Caught Between,Crushed,Falling Object,Internal,Internal Injuries,Pinned,Ramp,Struck By,Trailer,Trapped,Traumatic",H,,,,E,347168627,1,7010.0,34.0,,,,1,Falls
221635162,152500,12/15/2023,53,M,Employee dies of aneurism,Aneurism,,,,,,347236614,14,453.0,,,,,1,Other
221624687,452110,12/14/2023,26,M,Two employees drown in pit filled with water,"Concrete,Concrete Form Work,Dismantling,Drown,Drowning,Form work,Pit,Removing,Water",,,,,,347168239,12,999.0,,,,,1,Other
221624687,452110,12/14/2023,23,M,Two employees drown in pit filled with water,"Concrete,Concrete Form Work,Dismantling,Drown,Drowning,Form work,Pit,Removing,Water",,,,,,347168239,12,999.0,,,,,2,Other
221624844,950625,12/14/2023,51,M,Employee dies from natural causes related to heart attack,"Agriculture,Cardiovasc Disease,Cardiovasc System,Farm,Farm worker,Heart,Heart Attack,Illness,Medical Condition,Medical History,Natural Causes,Stroke,Tree Pruner,Underlying Medical Condition",,,,,,347169153,14,889.0,,,,,1,Medical Events
221625494,950621,12/14/2023,68,M,Employee suffers fatal injuries in semi-truck vehicle accident,"Blunt force,Blunt force trauma,Collision,Construction vehicle,Dump Truck,Industrial Truck,Motor Vehicle,Semi Tractor Trailer,Stone,Struck Against,Tractor--Truck,Traffic Accident,Traumatic,Truck,Truck",,,,,,347173064,2,804.0,,,,,1,Blunt Force/Struck By Objects
221640709,626000,12/14/2023,60,M,Employee falls to ground from ladder or scaffold,"Blunt force trauma,Brain,Brain Bleed,Electrician,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Ground,Head,Heart Attack,Ladder,Scaffold,Seizure,Traumatic,Traumatic Brain",C,1.0,,,B,347279051,5,575.0,,,,,1,Falls
221648355,454733,12/14/2023,54,M,Employee is killed when hits head on pole,"Blunt force trauma,Cardboard,Forehead,Intoxicated,Slip,Slippery Surface,Trash Bin",,,,,,347333197,4,875.0,,,,,1,Blunt Force/Struck By Objects
221624182,552652,12/13/2023,65,M,Employee dies from natural causes while finishing his shift,"Artery,Cardiovasc Disease,Cardiovasc System,Coronary artery disease,Medical Condition,Medical History,Natural Causes,Respiratory Tract,Underlying Medical Condition",,,,,,347163578,12,518.0,,,,,1,Medical Events
221627854,352460,12/13/2023,58,M,Employee is killed when struck by passing truck in roadway,"Abdomen,Blunt force,Blunt force trauma,Misjudgment,Misjudgment of Hazardous Situation,Motor Vehicle,Road,Struck By,Tree Trimming,Truck,Truck Driver,Unsafe Position",,,,,,347160657,1,0.0,,,,,1,Blunt Force/Struck By Objects
221629090,552700,12/13/2023,55,M,Employee with COVID-19 infection dies,Infectious Disease,,,,,,347179376,14,999.0,,,,,1,Other
221629231,950635,12/13/2023,46,M,Employee repossessing vehicle is killed after being shot,"Assault,Bullet,Firearm,Flying Object,Gun,Gunfire,Gunshot,Motor Vehicle,Projectile,Shot,Workplace Violence",,,,,,347161291,14,,,,,,1,Vehicle Accidents
221623465,420600,12/12/2023,50,M,Employee falls into concrete mixer truck causing fatality,"Blunt force trauma,Caught In,Concrete Mixer,Concrete Truck,Crushed,Fall,Mixer,Mixer Blade,Traumatic",A,,4.0,,A,347159030,2,588.0,42.0,,,,1,Falls
221623895,454711,12/12/2023,33,M,Tree falls and strikes employee causing fatality,"Blunt force trauma,Chain Saw,Fall,Falling Object,Head,Landscaper,Landscaping,Struck By,Traumatic,Traumatic Brain Injury,Tree,Tree Felling",,,,,,347161168,1,,,,,,1,Falls
221628571,950643,12/12/2023,54,M,Employee falls through roof leading to fatality,"Cleaning,Collapse,Deck,Decking,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Fracture,Ground,Plywood,Roof,Roof Collapse,Roofer,Sweeper",C,,22.0,,B,347191082,5,7045.0,43.0,,22.0,22.0,1,Falls
221622954,418300,12/11/2023,47,M,"Employee falls from ladder, suffers skull fracture, and is killed","Ascending,Blunt force,Blunt force trauma,Brain,Concrete Floor,Descending,Descending Ladder,Fall,Fall From Elevation,Head,Ladder,Plumbing,Skull,Step,Stepladder,Traumatic,Traumatic Brain Injury",C,,8.0,,C,347155434,5,519.0,,,8.0,8.0,1,Falls
221623143,627510,12/11/2023,0,M,Employee gets trapped between storage trailer and front end,"Bucket,Caught Between,Construction vehicle,Crushed,Front End Loader,Loader Bucket,Motor Vehicle,Storage Area,Storage Room,Transportation,Trapped,Utility,Vehicle",M,,,,A,347156838,6,,70.0,,,,1,Crushed/Caught Between
221623283,355116,12/11/2023,53,M,"Employee dies on unknown causes, found alongside truck","Driver,Medical Condition,Medical History,Natural Causes,Truck,Underlying Medical Condition,Unknown",,,,,,347157653,14,,,,,,1,Vehicle Accidents
221623309,551800,12/11/2023,44,M,Concrete wall falls on employee causing fatality,"Caught Between,Collapse,Concrete Block,Crushed,Cutting,Fall,Falling Object,Saw,Struck By,Wall",C,,,,B,347157695,1,7010.0,4.0,,,,1,Falls
221624117,950624,12/11/2023,57,M,Employee dies after being buried by collapsed trench wall,"Buried,Collapse,Construction,Excavation,Injury Illness Prevention Program,Lack of Engineering Controls,Lack of Work Procedures,Misjudgment,Misjudgment of Hazardous Situation,Overpressure,Protective Cl",A,1.0,,,E,347163164,14,,52.0,,,,1,Crushed/Caught Between
221627342,355111,12/11/2023,52,M,"One employee is crushed and dies, two employees are injured when trailer overturns and forklift falls.","Asphalt,Back,Blunt force,Blunt force trauma,Caught In,Chest,Forklift,Head,Hip,Industrial Truck,Lack of Work Procedures,Material Handling,Metal,Neck,Overturn,Powered Industrial Vehicle,Work Surface",,,,,,347156549,2,,,,,,1,Blunt Force/Struck By Objects
221624919,551800,12/9/2023,26,M,Employee dies after being shot during workplace fight,"Bullet,Fighting,Firearm,Gunfire,Gunshot,Janitor,Projectile,Shooting,Workplace Violence",C,2.0,,,B,347169443,14,7010.0,5.0,,,,1,Fire/Explosion
221622624,627500,12/8/2023,53,M,"Employee falls from scaffold, suffers fractures, and is killed","Concrete,Concrete Floor,Dismantling,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Fracture,Leg,Mason,Masonry,Masonry Wall,Rib,Scaffold,Shoulder,Shoulder Bone",C,,,,A,347153165,5,,50.0,,,,1,Falls
221623077,521100,12/8/2023,51,M,Employee dies after crushed by CO2 laser carriage and door,"Back,Bypass,Bypass Guard,Catch Point,Chest,Contusion,Crushed,Crushing,Cutter,Cutting,Door,Fracture,Interlock,Laser,Lung,Machine Guarding,Machine operator,Misjudgment,Misjudgment of Hazardous Situation",,,,,,347156366,14,779.0,,,,,1,Crushed/Caught Between
221625437,950621,12/8/2023,59,F,Employee dies from cardiac arrest while working in office,"Cardiac Arrest,Cardiovasc Disease,Cardiovasc System,Heart,Heart Attack,Lost consciousness,Medical Condition,Medical History,Respiratory Tract,Underlying Medical Condition,Unresponsive",,,,,,347172843,12,339.0,,,,,1,Medical Events
221625452,950624,12/8/2023,33,M,Employee is killed when shot by recently hired coworker,"Assault,Bullet,Firearm,Flying Object,Gun,Gunfire,Gunshot,Machine operator,Projectile,Shooting,Shot,Workplace Violence",,,,,,347172801,14,747.0,,,,,1,Fire/Explosion
221629892,552700,12/8/2023,66,M,Employee dies from head trauma after assaulted by customer,"Assault,Blunt force,Blunt force trauma,Grocery Store,Head,Retail,Retail Clerk,Retail Store,Struck By,Workplace Violence",,,,,,347199762,1,999.0,,,,,1,Blunt Force/Struck By Objects
221642382,152500,12/8/2023,54,M,Employee dies after collapsing,Unresponsive,,,,,,347172470,14,453.0,,,,,1,Other
221622202,551800,12/7/2023,34,M,Employee is killed in fall from tree,"Fall,Fall From Elevation,Tie-Off,Tree Branch,Tree Trimming",,,,,,347149148,5,786.0,,,,,1,Falls
221622418,627500,12/7/2023,48,M,Employee is killed when struck by unstable load,"Falling Object,Load Shift,Struck By,Unstable Load",,,,,,347151383,1,,,,,,1,Falls
221622483,551800,12/7/2023,59,F,Employee is killed when stabbed by customer,"Knife,Stabbed,Workplace Violence",,,,,,347151995,14,276.0,,,,,1,Violence
221622780,552652,12/7/2023,54,M,Employee is killed when garbage truck tips over,"Falling Object,Garbage Truck,Landfill,Struck By,Tips Over",,,,,,347154502,1,875.0,,,,,1,Falls
221622871,316300,12/7/2023,44,M,Employee dies from asphyxiation after entering fuel tank,"Argon,Asphyxiated,Atmosphere,Breathing,Confined Space,Entry Permit,Fuel Tank,Lack of oxygen,Lung,Overcome by gas,Oxygen,Oxygen Deficiency,Permit,Pipe,Repair,Respirator,Respiratory Tract,Shipyard,Tank,",,,,,,347154957,14,585.0,,,,,1,Asphyxiation
221624042,830300,12/7/2023,30,M,"Employee falls from top plate, suffers head trauma leading to death","Blunt force trauma,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Fall Protection,Frame,Framing,Head,Traumatic,Traumatic Brain Injury",A,,10.0,,A,347154437,5,869.0,14.0,,20.0,10.0,1,Falls
221624273,950647,12/7/2023,72,M,Employee dies of heart attack while picking oranges,"Agriculture,Cardiac Arrest,Cardiovasc System,Farm,Farm worker,Harvesting,Heart Attack,Medical Condition,Medical History,Natural Causes,Respiratory,Underlying Medical Condition",,,,,,347163917,14,479.0,,,,,1,Medical Events
221626047,552700,12/7/2023,62,M,Employee suffers electrocution during contact with overhead,"Clearing,Contact,Electric Shock,Electrocuted,Energized,Overhead Power Line,Power Lines,Roof,Roofer,Roofing,Shock",,,,,,347176158,13,999.0,,,,,1,Falls
221621964,521400,12/6/2023,51,M,Employee is killed in fall from tower,"Beam,Caught Between,Concrete Floor,Crushed,Crushing,Fall,Fall From Elevation,Fall Protection,Head,Overhead Crane,Protective Clothing,Tower,Unresponsive",P,,24.0,,A,347147340,5,7016.0,50.0,,24.0,24.0,1,Falls
221631484,552700,12/6/2023,39,M,Employee dies of crushing injuries when pulled into conveyor,"Caught By,Caught In,Conveyor,Conveyor Belt,Crushed,Machine Guarding,Machine operator,Misjudgment,Misjudgment of Hazardous Situation,Pinch Point,Pinched,Power Roller,Pulled In,Reaching,Reaching In,Roll",,,,,,347170417,2,999.0,,,,,1,Crushed/Caught Between
221621410,521100,12/5/2023,57,M,Employee is killed when head is crushed by stacker carriage,"Board,Crushed,Crushing,Falling Object,Forklift,Head,Jammed,Neck,Pallet,Roller--Mach/Part,Struck By,Unresponsive",,,,,,347142630,1,779.0,,,,,1,Falls
221621501,418800,12/5/2023,45,M,Employee suffers fatality following fall while cleaning roof,"Back,Blunt force trauma,Cleaning,Fall,Fall From Elevation,Lumbar Fracture,Lumbar Injury,Roof,Roofer,Roofing,Traumatic,Traumatic Brain Injury,Water,Work at Elevation",A,,25.0,,C,347143091,5,595.0,,,25.0,25.0,1,Falls
221622079,523900,12/5/2023,43,M,Employee is killed when run over by log forwarder,"Blunt force trauma,Loading,Log,Run Over,Tire,Tractor Trailer,Truck Driver",,,,,,347147936,2,804.0,,,,,1,Blunt Force/Struck By Objects
221623010,951510,12/5/2023,40,M,Employee is killed when crushed by residential elevator,"Blunt force trauma,Brain,Caught Between,Caught In,Crushed,Crushing,Elevator,Interlock,Maintenance,Pit,Residential Construction,Trapped,Traumatic,Traumatic Brain Injury,Troubleshooting",,,,,,347155624,2,543.0,,,,,1,Blunt Force/Struck By Objects
221620933,317000,12/4/2023,27,M,"One employee is killed, another is injured after store robber stabs employees","Knife,Robbery,Security Guard,Stabbed,Workplace Violence",,,,,,347139594,14,,,,,,2,Violence
221621584,524500,12/4/2023,25,M,Employee suffers fatality after falling from collapsed roof,"Blunt force,Blunt force trauma,Collapse,Concrete,Concrete Floor,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Fall Protection,Roof,Roofer,Roofing,Traumatic",C,,30.0,,E,347144206,5,595.0,43.0,,30.0,30.0,1,Falls
221621634,418200,12/4/2023,37,M,Employee is killed when crushed by machine,"Abdomen,Caught Between,Crushed,Machine Cycled,Metal,Troubleshooting",,,,,,347144396,1,519.0,,,,,1,Crushed/Caught Between
221621949,522500,12/4/2023,41,M,Employee falls from forklift forks while installing window,"Blunt force trauma,Construction vehicle,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Forklift,Forks,Ground,Installing,Powered Industrial Vehicle,Residential Construction",A,3.0,,,A,347147373,5,869.0,22.0,,20.0,20.0,1,Falls
221622632,420600,12/4/2023,42,M,Employee dies from heat stroke and rhabdomyolysis,"Agriculture,Farm worker,Heat Stroke,Heat-related illness,Rhabdomyolysis",,,,,,347153199,14,473.0,,,,,1,Other
221624315,936300,12/4/2023,57,F,Employee dies of cardiac arrest after collapsing during work,"Cardiac Arrest,Cardiovasc Disease,Cardiovasc System,Heart Attack,Hotel,Housekeeping,Janitor,Medical Condition,Medical History,Respiratory Tract,Underlying Medical Condition",,,,,,347164113,14,405.0,,,,,1,Medical Events
221626419,950644,12/4/2023,54,M,Employee cleaning tank dies after chemically asphyxiated,"Chemical,Chemical Exposure,Chemical Vapor,Cleaning,Communication,Confined Space,Degreaser,Entry Permit,Inhalation,Insufficient Supervision,Lung,Methylene Chloride,Misjudgment,Misjudgment of Hazardous",,,,,,347178543,8,539.0,,,,,1,Construction/Material Handling
221631062,215000,12/4/2023,58,M,Employee operating boat is killed in collision with bridge,"Abdomen,Blunt force,Blunt force trauma,Boat,Bridge,Collision,Driving,Lost consciousness,Puncture,Puncture Wound,River,Struck Against,Unconsciousness,Water",,,,,,347206849,6,828.0,,,,,1,Blunt Force/Struck By Objects
221634710,213900,12/4/2023,60,M,Employee is killed when struck and run over by motor vehicle,"Gas Station,Motor Vehicle,Run Over,Struck By,Workplace Violence",,,,,,347233330,1,257.0,,,,,1,Blunt Force/Struck By Objects
221622095,626000,12/2/2023,77,M,Employee is killed when electrocuted,"Cardiac Arrest,Electrical Burn,Electrocuted,Overheated,Repair,Transformer",,,,,,347148777,13,555.0,,,,,1,Medical Events
221623192,950647,12/2/2023,63,M,Employee is run over by front end loader and is killed,"Blunt force,Blunt force trauma,Bucket,Construction vehicle,Crushed,Front End Loader,Grader,Motor Vehicle,Run Over,Soil,Struck By,Vehicle",N,,,,E,347157190,1,869.0,1.0,,,,1,Blunt Force/Struck By Objects
221621105,626300,12/1/2023,20,M,Employee falls from extension ladder and suffers fatality,"Blunt force,Blunt force trauma,Concrete,Extension Ladder,Fall,Fall From Elevation,Fiberglass,Fracture,Gutter,Head,Ladder,Metal Siding,Siding,Traumatic,Traumatic Brain Injury",C,1.0,,,A,347141046,5,7010.0,70.0,,16.0,16.0,1,Falls
221621154,552652,12/1/2023,67,M,Employee dies of natural causes,"Lost consciousness,Natural Causes,Powered Industrial Vehicle,Preexisting Condition,Underlying Medical Condition",,,,,,347141319,12,514.0,,,,,1,Medical Events
221621394,317700,12/1/2023,41,M,Employee is killed in fall to concrete,"Chest,Concrete Floor,Fall,Fall From Elevation,Forklift,Fracture,Head,Pallet,Shoulder,Storage Rack,Tie-Off",,,,,,347142507,5,,,,,,1,Falls
